序号,标题,链接,创建时间,状态,标签
412,"Mx fails to set/use target directory with ""-R"" option",https://github.com/MonetDB/MonetDB/issues/553,2020-11-30T08:42:16Z,CLOSED,['bug']
413,SQL: timestamps with time zone returned incorrectly,https://github.com/MonetDB/MonetDB/issues/554,2020-11-30T08:42:19Z,CLOSED,['bug']
414,"SQL: test smack01 fails with ""Out of client slots""",https://github.com/MonetDB/MonetDB/issues/556,2020-11-30T08:42:25Z,CLOSED,['bug']
415,"XQuery: warnings get lost with ""MapiClient -lxquery""",https://github.com/MonetDB/MonetDB/issues/557,2020-11-30T08:42:28Z,CLOSED,['bug']
416,"XQuery: MapiClient -lxquery ""swallows"" leading '!' in output",https://github.com/MonetDB/MonetDB/issues/559,2020-11-30T08:42:34Z,CLOSED,['bug']
417,XQuery: 'string_join' expects sorted BAT,https://github.com/MonetDB/MonetDB/issues/560,2020-11-30T08:42:37Z,CLOSED,['bug']
418,XQuery: crashtest,https://github.com/MonetDB/MonetDB/issues/561,2020-11-30T08:42:39Z,CLOSED,['bug']
419,XQuery: error using a test in return-clause of FLWR,https://github.com/MonetDB/MonetDB/issues/562,2020-11-30T08:42:42Z,CLOSED,['bug']
420,XQuery: bug in a simple predicate evaluation,https://github.com/MonetDB/MonetDB/issues/564,2020-11-30T08:42:47Z,CLOSED,['bug']
421,XQuery: merged_union fails,https://github.com/MonetDB/MonetDB/issues/566,2020-11-30T08:42:53Z,CLOSED,['bug']
422,XQuery: wrong numbering with single item lists,https://github.com/MonetDB/MonetDB/issues/567,2020-11-30T08:42:55Z,CLOSED,['bug']
423,Mapi tests fail on SuSE 9.1 (32 bit; in KN),https://github.com/MonetDB/MonetDB/issues/569,2020-11-30T08:43:02Z,CLOSED,['bug']
424,XQuery: MIL after XQuery,https://github.com/MonetDB/MonetDB/issues/571,2020-11-30T08:43:08Z,CLOSED,['bug']
425,XQuery: shredding attributes takes time,https://github.com/MonetDB/MonetDB/issues/572,2020-11-30T08:43:11Z,CLOSED,['bug']
426,XQuery: make warnings,https://github.com/MonetDB/MonetDB/issues/573,2020-11-30T08:43:14Z,CLOSED,['bug']
427,XQuery: incorrect name-test in url-docs,https://github.com/MonetDB/MonetDB/issues/574,2020-11-30T08:43:18Z,CLOSED,['bug']
428,XQuery: merged_union fails on hseqbase,https://github.com/MonetDB/MonetDB/issues/576,2020-11-30T08:43:24Z,CLOSED,['bug']
429,"Empty AVG(decimal(3,1)) returns -1.7976931348623158E307",https://github.com/MonetDB/MonetDB/issues/577,2020-11-30T08:43:27Z,CLOSED,['bug']
430,latest MonetDB causes SegFault in various tests,https://github.com/MonetDB/MonetDB/issues/578,2020-11-30T08:43:30Z,CLOSED,['bug']
431,XQuery: delete_doc only works after shred_doc,https://github.com/MonetDB/MonetDB/issues/579,2020-11-30T08:43:33Z,CLOSED,['bug']
432,Assertion failure with complex subquery in selectlist,https://github.com/MonetDB/MonetDB/issues/580,2020-11-30T08:43:36Z,CLOSED,['bug']
433,XQuery: strange behaviour with '&',https://github.com/MonetDB/MonetDB/issues/581,2020-11-30T08:43:39Z,CLOSED,['bug']
434,XQuery: swallowing \,https://github.com/MonetDB/MonetDB/issues/582,2020-11-30T08:43:42Z,CLOSED,['bug']
435,XQuery: '<' should be escaped in xml mode,https://github.com/MonetDB/MonetDB/issues/583,2020-11-30T08:43:45Z,CLOSED,['bug']
436,"XQuery: parser doesn't accept ""&apos;""",https://github.com/MonetDB/MonetDB/issues/585,2020-11-30T08:43:50Z,CLOSED,['bug']
437,XQuery: parser doesn't accept '>' in element content,https://github.com/MonetDB/MonetDB/issues/586,2020-11-30T08:43:53Z,CLOSED,['bug']
438,XQuery: text staring with '!' is treated as error message,https://github.com/MonetDB/MonetDB/issues/587,2020-11-30T08:43:55Z,CLOSED,['bug']
439,XQuery: child(4): tail of item must be sorted!,https://github.com/MonetDB/MonetDB/issues/588,2020-11-30T08:43:58Z,CLOSED,['bug']
440,XQuery: parser error when creating elements,https://github.com/MonetDB/MonetDB/issues/589,2020-11-30T08:44:01Z,CLOSED,['bug']
441,XQuery: distinct-values,https://github.com/MonetDB/MonetDB/issues/590,2020-11-30T08:44:04Z,CLOSED,['bug']
442,XQuery: order awareness + 'WHERE' clause,https://github.com/MonetDB/MonetDB/issues/591,2020-11-30T08:44:08Z,CLOSED,['bug']
443,XQuery: merge_union again,https://github.com/MonetDB/MonetDB/issues/592,2020-11-30T08:44:10Z,CLOSED,['bug']
444,"XQuery: ""contains"" and ""or""",https://github.com/MonetDB/MonetDB/issues/593,2020-11-30T08:44:13Z,CLOSED,['bug']
445,NULL is not allowed in CASE,https://github.com/MonetDB/MonetDB/issues/594,2020-11-30T08:44:16Z,CLOSED,['bug']
446,PF: Mserver crashes on space and/or '\' in shred_doc path,https://github.com/MonetDB/MonetDB/issues/595,2020-11-30T08:44:19Z,CLOSED,['bug']
447,Cannot cast a bigint to integer if it should fit,https://github.com/MonetDB/MonetDB/issues/596,2020-11-30T08:44:22Z,CLOSED,['bug']
448,IN-operator fails with MIL-errors,https://github.com/MonetDB/MonetDB/issues/597,2020-11-30T08:44:25Z,CLOSED,['bug']
449,Socket handle leak (Win32),https://github.com/MonetDB/MonetDB/issues/598,2020-11-30T08:44:28Z,CLOSED,['bug']
450,pqueue missing from MonetDB-Installer-4.8.0.msi,https://github.com/MonetDB/MonetDB/issues/599,2020-11-30T08:44:32Z,CLOSED,['bug']
451,Failed to compile MonetDB,https://github.com/MonetDB/MonetDB/issues/600,2020-11-30T08:44:34Z,CLOSED,['bug']
452,ld warnings when compiling with Darwin 8.1.0,https://github.com/MonetDB/MonetDB/issues/604,2020-11-30T08:44:47Z,CLOSED,['bug']
453,Failed to compile MonetDB,https://github.com/MonetDB/MonetDB/issues/606,2020-11-30T08:44:52Z,CLOSED,['bug']
454,bugs in ls/dir with reversed named bats,https://github.com/MonetDB/MonetDB/issues/607,2020-11-30T08:44:56Z,CLOSED,['bug']
455,Thread handle leak (Win32),https://github.com/MonetDB/MonetDB/issues/610,2020-11-30T08:45:07Z,CLOSED,['bug']
456,"Assertion failed: s->access == ST_WRITE: stream.mx, line 414",https://github.com/MonetDB/MonetDB/issues/611,2020-11-30T08:45:10Z,CLOSED,['bug']
457,XQuery: shred_doc does take to long for 1GB document,https://github.com/MonetDB/MonetDB/issues/612,2020-11-30T08:45:13Z,CLOSED,['bug']
458,Crash: prepare insert into ...,https://github.com/MonetDB/MonetDB/issues/613,2020-11-30T08:45:16Z,CLOSED,['bug']
459,XQuery: merged_union,https://github.com/MonetDB/MonetDB/issues/614,2020-11-30T08:45:19Z,CLOSED,['bug']
460,XQuery: tag name validation,https://github.com/MonetDB/MonetDB/issues/615,2020-11-30T08:45:22Z,CLOSED,['bug']
461,property dirty is set to \'diffs\' directly after startup,https://github.com/MonetDB/MonetDB/issues/617,2020-11-30T08:45:28Z,CLOSED,['bug']
462,Unable to bind NULL,https://github.com/MonetDB/MonetDB/issues/618,2020-11-30T08:45:31Z,CLOSED,['bug']
463,!unexpected end of input,https://github.com/MonetDB/MonetDB/issues/621,2020-11-30T08:45:41Z,CLOSED,['bug']
464,Compilation error Darwin readline5 gcc4,https://github.com/MonetDB/MonetDB/issues/622,2020-11-30T08:45:44Z,CLOSED,['bug']
465,dead link in MIL docs,https://github.com/MonetDB/MonetDB/issues/623,2020-11-30T08:45:47Z,CLOSED,['bug']
466,Too quick copy and paste in bat.mx,https://github.com/MonetDB/MonetDB/issues/624,2020-11-30T08:45:50Z,CLOSED,['bug']
467,Assertion on bat cast,https://github.com/MonetDB/MonetDB/issues/625,2020-11-30T08:45:53Z,CLOSED,['bug']
468,SQL: PREPARE doesn't like LIKE,https://github.com/MonetDB/MonetDB/issues/627,2020-11-30T08:45:58Z,CLOSED,['bug']
469,"\""last-modified\"" time ignored in document cache",https://github.com/MonetDB/MonetDB/issues/628,2020-11-30T08:46:02Z,CLOSED,['bug']
470,XQuery: self-axis not supported?,https://github.com/MonetDB/MonetDB/issues/629,2020-11-30T08:46:05Z,CLOSED,['bug']
471,XQuery: shredder keeps lock on files,https://github.com/MonetDB/MonetDB/issues/631,2020-11-30T08:46:10Z,CLOSED,['bug']
472,SQL: PREPARE ... where 1 = ?,https://github.com/MonetDB/MonetDB/issues/632,2020-11-30T08:46:14Z,CLOSED,['bug']
473,bat cast makes bats writable,https://github.com/MonetDB/MonetDB/issues/633,2020-11-30T08:46:16Z,CLOSED,['bug']
474,SQL: PREPARE ... where ? = ?,https://github.com/MonetDB/MonetDB/issues/634,2020-11-30T08:46:19Z,CLOSED,['bug']
475,SQL: PREPARE select ? ...,https://github.com/MonetDB/MonetDB/issues/635,2020-11-30T08:46:22Z,CLOSED,['bug']
476,SQL: PREPARE select ... where ... in (?),https://github.com/MonetDB/MonetDB/issues/636,2020-11-30T08:46:25Z,CLOSED,['bug']
477,SQL: DELETE ... where 1 = 1,https://github.com/MonetDB/MonetDB/issues/637,2020-11-30T08:46:28Z,CLOSED,['bug']
478,SQL: SELECT ... where name = ( select ... ),https://github.com/MonetDB/MonetDB/issues/639,2020-11-30T08:46:35Z,CLOSED,['bug']
479,SQL: ... where 1 in ( ...,https://github.com/MonetDB/MonetDB/issues/640,2020-11-30T08:46:37Z,CLOSED,['bug']
480,SQL: ... default next value for non_ex_seq,https://github.com/MonetDB/MonetDB/issues/642,2020-11-30T08:46:43Z,CLOSED,['bug']
481,MIL: key(true) behaviour,https://github.com/MonetDB/MonetDB/issues/643,2020-11-30T08:46:47Z,CLOSED,['bug']
482,MIL: time() limited to < (+-4000s),https://github.com/MonetDB/MonetDB/issues/644,2020-11-30T08:46:50Z,CLOSED,['bug']
483,Pathfinder fails to compile,https://github.com/MonetDB/MonetDB/issues/645,2020-11-30T08:46:53Z,CLOSED,['bug']
484,server crashes when multiple modules are supplied,https://github.com/MonetDB/MonetDB/issues/646,2020-11-30T08:46:56Z,CLOSED,['bug']
485,Documentation: hot(),https://github.com/MonetDB/MonetDB/issues/647,2020-11-30T08:46:59Z,CLOSED,['bug']
486,"module ""logger"" fails to compiler on Darwin",https://github.com/MonetDB/MonetDB/issues/648,2020-11-30T08:47:02Z,CLOSED,['bug']
487,Failed to compile shredder.mx,https://github.com/MonetDB/MonetDB/issues/649,2020-11-30T08:47:05Z,CLOSED,['bug']
488,Document order and attribute nodes,https://github.com/MonetDB/MonetDB/issues/650,2020-11-30T08:47:07Z,CLOSED,['bug']
489,Building without bison >=1.33,https://github.com/MonetDB/MonetDB/issues/652,2020-11-30T08:47:14Z,CLOSED,['bug']
490,problematic nat -> oid conversion on 64 bit system,https://github.com/MonetDB/MonetDB/issues/653,2020-11-30T08:47:17Z,CLOSED,['bug']
491,errnr set without occurence of an error,https://github.com/MonetDB/MonetDB/issues/655,2020-11-30T08:47:23Z,CLOSED,['bug']
492,SQL: select ... where extract( ...) = ... and extract( ...,https://github.com/MonetDB/MonetDB/issues/656,2020-11-30T08:47:26Z,CLOSED,['bug']
493,compilation fails in pathfinder.mx,https://github.com/MonetDB/MonetDB/issues/658,2020-11-30T08:47:32Z,CLOSED,['bug']
494,SQL: select interval ... + date ...,https://github.com/MonetDB/MonetDB/issues/659,2020-11-30T08:47:35Z,CLOSED,['bug']
495,SQL: select interval '-1-2' year to month,https://github.com/MonetDB/MonetDB/issues/660,2020-11-30T08:47:38Z,CLOSED,['bug']
496,Element creation and element content,https://github.com/MonetDB/MonetDB/issues/661,2020-11-30T08:47:41Z,CLOSED,['bug']
497,pathfinder fails to compile on SunOS/Solaris,https://github.com/MonetDB/MonetDB/issues/662,2020-11-30T08:47:43Z,CLOSED,['bug']
498,XQuery: xquery() swallows error message,https://github.com/MonetDB/MonetDB/issues/663,2020-11-30T08:47:46Z,CLOSED,['bug']
499,BUFSIZ considered harmful,https://github.com/MonetDB/MonetDB/issues/664,2020-11-30T08:47:50Z,CLOSED,['bug']
500,Pump properties,https://github.com/MonetDB/MonetDB/issues/665,2020-11-30T08:47:53Z,CLOSED,['bug']
501,SQL: select interval '1' year = interval '12' second,https://github.com/MonetDB/MonetDB/issues/666,2020-11-30T08:47:56Z,CLOSED,['bug']
502,SQL: select cast('1-2' as interval year to month ),https://github.com/MonetDB/MonetDB/issues/667,2020-11-30T08:47:58Z,CLOSED,['bug']
503,SQL: select extract( ... from interval ...,https://github.com/MonetDB/MonetDB/issues/668,2020-11-30T08:48:01Z,CLOSED,['bug']
504,functions and XML namespaces,https://github.com/MonetDB/MonetDB/issues/669,2020-11-30T08:48:04Z,CLOSED,['bug']
505,no variant of function #pf:merge-adjacent-text-nodes accepts,https://github.com/MonetDB/MonetDB/issues/671,2020-11-30T08:48:10Z,CLOSED,['bug']
506,TestWeb: details not available,https://github.com/MonetDB/MonetDB/issues/673,2020-11-30T08:48:16Z,CLOSED,['bug']
507,Pathfinder (milprint_summer.c) fails to compile,https://github.com/MonetDB/MonetDB/issues/674,2020-11-30T08:48:19Z,CLOSED,['bug']
508,Kernel guide not avialable,https://github.com/MonetDB/MonetDB/issues/675,2020-11-30T08:48:22Z,CLOSED,['bug']
509,SQL: select cast( 1 as interval ...,https://github.com/MonetDB/MonetDB/issues/677,2020-11-30T08:48:27Z,CLOSED,['bug']
510,multiplex fails to maintain void-heads with var-sized tails,https://github.com/MonetDB/MonetDB/issues/678,2020-11-30T08:48:31Z,CLOSED,['bug']
511,Core simplification in milprint_summer.c leads to type error,https://github.com/MonetDB/MonetDB/issues/679,2020-11-30T08:48:34Z,CLOSED,['bug']
512,SQL: select interval '1' second * 2,https://github.com/MonetDB/MonetDB/issues/680,2020-11-30T08:48:37Z,CLOSED,['bug']
513,merge() incorrectly marks BATs as sorted,https://github.com/MonetDB/MonetDB/issues/681,2020-11-30T08:48:40Z,CLOSED,['bug']
514,XQuery: (100 div 7) mod 5,https://github.com/MonetDB/MonetDB/issues/682,2020-11-30T08:48:43Z,CLOSED,['bug']
515,SQL: Update with correlated subselect,https://github.com/MonetDB/MonetDB/issues/683,2020-11-30T08:48:47Z,CLOSED,['bug']
516,XQuery: test compiler/parser/bad-006.xq fails,https://github.com/MonetDB/MonetDB/issues/684,2020-11-30T08:48:50Z,CLOSED,['bug']
517,XQuery: test runtime/Tests/text1.milS failes,https://github.com/MonetDB/MonetDB/issues/685,2020-11-30T08:48:52Z,CLOSED,['bug']
518,XQuery: error handler incorrectly called from libxml2??,https://github.com/MonetDB/MonetDB/issues/686,2020-11-30T08:48:55Z,CLOSED,['bug']
519,MonetDB: new test tests/suite_00/Tests/test_36.milS fails,https://github.com/MonetDB/MonetDB/issues/687,2020-11-30T08:48:58Z,CLOSED,['bug']
520,XQuery: incorrect WS,https://github.com/MonetDB/MonetDB/issues/688,2020-11-30T08:49:02Z,CLOSED,['bug']
521,XQuery: tests tests/XQuery/Tests/let_for[23].xq fail,https://github.com/MonetDB/MonetDB/issues/691,2020-11-30T08:49:11Z,CLOSED,['bug']
522,documentation of option '-s' missing,https://github.com/MonetDB/MonetDB/issues/692,2020-11-30T08:49:14Z,CLOSED,['bug']
523,XQuery: ceiling xs:integer,https://github.com/MonetDB/MonetDB/issues/694,2020-11-30T08:49:20Z,CLOSED,['bug']
524,SQL: relaxing subqueries,https://github.com/MonetDB/MonetDB/issues/695,2020-11-30T08:49:23Z,CLOSED,['bug']
525,SQL: ON DELETE/UPDATE CASCADE accepted but not executed,https://github.com/MonetDB/MonetDB/issues/696,2020-11-30T08:49:26Z,CLOSED,['bug']
526,website: research articles page broken,https://github.com/MonetDB/MonetDB/issues/697,2020-11-30T08:49:29Z,CLOSED,['bug']
527,XQuery: if+let+for+element,https://github.com/MonetDB/MonetDB/issues/698,2020-11-30T08:49:32Z,CLOSED,['bug']
528,possible problem with burg and bison 2.0,https://github.com/MonetDB/MonetDB/issues/699,2020-11-30T08:49:35Z,CLOSED,['bug']
529,SQL: update count makes no sense when deleting,https://github.com/MonetDB/MonetDB/issues/705,2020-11-30T08:49:54Z,CLOSED,['bug']
530,SQL:segfault upon recovery/restart,https://github.com/MonetDB/MonetDB/issues/707,2020-11-30T08:50:00Z,CLOSED,['bug']
531,XQuery: distinct-values doesn't accept integers,https://github.com/MonetDB/MonetDB/issues/708,2020-11-30T08:50:04Z,CLOSED,['bug']
532,XQuery: sum + (a|b),https://github.com/MonetDB/MonetDB/issues/710,2020-11-30T08:50:10Z,CLOSED,['bug']
533,url.mx fails to compile,https://github.com/MonetDB/MonetDB/issues/711,2020-11-30T08:50:13Z,CLOSED,['bug']
534,SQL: weird response on LIMIT query,https://github.com/MonetDB/MonetDB/issues/712,2020-11-30T08:50:16Z,CLOSED,['bug']
535,SQL: history/performance 'feature' is broken,https://github.com/MonetDB/MonetDB/issues/713,2020-11-30T08:50:19Z,CLOSED,['bug']
536,"SQL: MapiCient \""seems\"" to accept wrong username/pwd",https://github.com/MonetDB/MonetDB/issues/714,2020-11-30T08:50:23Z,CLOSED,['bug']
537,Crash with incorrect SQL input,https://github.com/MonetDB/MonetDB/issues/715,2020-11-30T08:50:26Z,CLOSED,['bug']
538,"SQL: ""select not true;"" failes",https://github.com/MonetDB/MonetDB/issues/716,2020-11-30T08:50:29Z,CLOSED,['bug']
539,create view with check options,https://github.com/MonetDB/MonetDB/issues/717,2020-11-30T08:50:32Z,CLOSED,['bug']
540,kill(0) causes SEGFAULT,https://github.com/MonetDB/MonetDB/issues/718,2020-11-30T08:50:35Z,CLOSED,['bug']
541,Incorrect file permissions on website,https://github.com/MonetDB/MonetDB/issues/719,2020-11-30T08:50:38Z,CLOSED,['bug']
542,XQuery: 'integer' idiv 'integer',https://github.com/MonetDB/MonetDB/issues/720,2020-11-30T08:50:41Z,CLOSED,['bug']
543,"src/common/stream.mx fails to compile on Sun, Darwin, CygWin",https://github.com/MonetDB/MonetDB/issues/722,2020-11-30T08:50:47Z,CLOSED,['bug']
544,Pathfinder fails to compile with Intel's icc,https://github.com/MonetDB/MonetDB/issues/723,2020-11-30T08:50:51Z,CLOSED,['bug']
545,printing CTgroup result through Mapi hangs,https://github.com/MonetDB/MonetDB/issues/724,2020-11-30T08:50:53Z,CLOSED,['bug']
546,primary key usage crashes monetDB,https://github.com/MonetDB/MonetDB/issues/725,2020-11-30T08:50:57Z,CLOSED,['bug']
547,"MonetDB: \""Out of client slots\""",https://github.com/MonetDB/MonetDB/issues/727,2020-11-30T08:51:03Z,CLOSED,['bug']
548,Mserver/XQuery: Segfault on Ctrl-C,https://github.com/MonetDB/MonetDB/issues/728,2020-11-30T08:51:07Z,CLOSED,['bug']
549,XQuery: querying non-existent attribute,https://github.com/MonetDB/MonetDB/issues/729,2020-11-30T08:51:10Z,CLOSED,['bug']
550,pathfinder/compiler/mil/milprint_summer.c fails to compile,https://github.com/MonetDB/MonetDB/issues/731,2020-11-30T08:51:16Z,CLOSED,['bug']
551,pathfinder/compiler/compile.c fails to compile,https://github.com/MonetDB/MonetDB/issues/732,2020-11-30T08:51:20Z,CLOSED,['bug']
552,"""make install"" fails for MonetDB in src/tools/",https://github.com/MonetDB/MonetDB/issues/734,2020-11-30T08:51:25Z,CLOSED,['bug']
553,module bug,https://github.com/MonetDB/MonetDB/issues/735,2020-11-30T08:51:28Z,CLOSED,['bug']
554,XQuery: `MapiClient -lxquery` hangs on empty input,https://github.com/MonetDB/MonetDB/issues/736,2020-11-30T08:51:31Z,CLOSED,['bug']
555,SQL: LIMIT is broken,https://github.com/MonetDB/MonetDB/issues/737,2020-11-30T08:51:34Z,CLOSED,['bug']
556,PF: XPath step eval (and presence of attributes?),https://github.com/MonetDB/MonetDB/issues/738,2020-11-30T08:51:37Z,CLOSED,['bug']
557,SQL: cast(now() as date) in default fails,https://github.com/MonetDB/MonetDB/issues/739,2020-11-30T08:51:41Z,CLOSED,['bug']
558,data changes by appending/inserting void|void bats,https://github.com/MonetDB/MonetDB/issues/740,2020-11-30T08:51:44Z,CLOSED,['bug']
559,Order of disjunctive clauses should not make a difference,https://github.com/MonetDB/MonetDB/issues/742,2020-11-30T08:51:49Z,CLOSED,['bug']
560,combination of subquery and intersect fails,https://github.com/MonetDB/MonetDB/issues/743,2020-11-30T08:51:52Z,CLOSED,['bug']
561,setting the access property on void|void bats does not work,https://github.com/MonetDB/MonetDB/issues/745,2020-11-30T08:51:58Z,CLOSED,['bug']
562,./configure accepts --without-pthread,https://github.com/MonetDB/MonetDB/issues/746,2020-11-30T08:52:02Z,CLOSED,['bug']
563,Limit error using VIEWS,https://github.com/MonetDB/MonetDB/issues/747,2020-11-30T08:52:05Z,CLOSED,['bug']
564,SQL: SET reply_size ignored when sent as S command,https://github.com/MonetDB/MonetDB/issues/749,2020-11-30T08:52:11Z,CLOSED,['bug']
565,MapiClient fails to handle empty lines correctly,https://github.com/MonetDB/MonetDB/issues/750,2020-11-30T08:52:14Z,CLOSED,['bug']
566,PF: latest pathfinder fails to compile,https://github.com/MonetDB/MonetDB/issues/751,2020-11-30T08:56:54Z,CLOSED,['bug']
567,XQuery: test tests/XQuery/Tests/concat.xq fails since 29.10.,https://github.com/MonetDB/MonetDB/issues/752,2020-11-30T08:56:58Z,CLOSED,['bug']
568,PF: runtime/shredder.mx fails to compile with libxml2<2.6.12,https://github.com/MonetDB/MonetDB/issues/755,2020-11-30T08:57:07Z,CLOSED,['bug']
569,PF: text nodes with empty content sequence,https://github.com/MonetDB/MonetDB/issues/756,2020-11-30T08:57:11Z,CLOSED,['bug']
570,"PF: xquery(str,str):str returns/prints generated MIL code",https://github.com/MonetDB/MonetDB/issues/758,2020-11-30T08:57:18Z,CLOSED,['bug']
571,access(BAT_WRITE) on a void|void bat crashes Mserver,https://github.com/MonetDB/MonetDB/issues/759,2020-11-30T08:57:21Z,CLOSED,['bug']
572,cvs checkin accidently overwrote changes,https://github.com/MonetDB/MonetDB/issues/760,2020-11-30T08:57:24Z,CLOSED,['bug']
573,SQL: String to Int conversion,https://github.com/MonetDB/MonetDB/issues/762,2020-11-30T08:57:30Z,CLOSED,['bug']
574,MAPI: setting mapi_clients property too high terminates serv,https://github.com/MonetDB/MonetDB/issues/763,2020-11-30T08:57:33Z,CLOSED,['bug']
575,MAPI: New connections get stuck instead of rejected,https://github.com/MonetDB/MonetDB/issues/764,2020-11-30T08:57:37Z,CLOSED,['bug']
576,SQL: crash: select cast( 1 as varchar(10)),https://github.com/MonetDB/MonetDB/issues/765,2020-11-30T08:57:40Z,CLOSED,['bug']
577,MAPI: protocol violation on GDKmalloc failure,https://github.com/MonetDB/MonetDB/issues/766,2020-11-30T08:57:43Z,CLOSED,['bug']
578,SQL: timestamp doesn't obey fractional seconds precision,https://github.com/MonetDB/MonetDB/issues/768,2020-11-30T08:57:50Z,CLOSED,['bug']
579,SQL: now() doesn't contain fractional seconds values,https://github.com/MonetDB/MonetDB/issues/769,2020-11-30T08:57:53Z,CLOSED,['bug']
580,Failed to compile SQL,https://github.com/MonetDB/MonetDB/issues/770,2020-11-30T08:57:56Z,CLOSED,['bug']
581,"various tests fail on all platforms after ""yytree"" changes",https://github.com/MonetDB/MonetDB/issues/771,2020-11-30T08:57:59Z,CLOSED,['bug']
582,"tests segfault on some platforms after ""yytree"" changes",https://github.com/MonetDB/MonetDB/issues/772,2020-11-30T08:58:02Z,CLOSED,['bug']
583,buildtools: configure doesn't complain if python isn't avail,https://github.com/MonetDB/MonetDB/issues/773,2020-11-30T08:58:06Z,CLOSED,['bug']
584,"SQL: 333 out of 338 tests fail after ""yytree"" changes",https://github.com/MonetDB/MonetDB/issues/774,2020-11-30T08:58:09Z,CLOSED,['bug']
585,"PF: 468 out of 946 test fail after ""yytree"" changes",https://github.com/MonetDB/MonetDB/issues/775,2020-11-30T08:58:13Z,CLOSED,['bug']
586,PF: parser problem: `) as' vs. `)' `ascending',https://github.com/MonetDB/MonetDB/issues/776,2020-11-30T08:58:17Z,CLOSED,['bug']
587,SQL: Seg fault on UPDATE statement with subselect,https://github.com/MonetDB/MonetDB/issues/777,2020-11-30T08:58:20Z,CLOSED,['bug']
588,Compilation of odbc.py.lo fails,https://github.com/MonetDB/MonetDB/issues/778,2020-11-30T08:58:23Z,CLOSED,['bug']
589,SQL: inserting an invalid timestamp leads to a null value,https://github.com/MonetDB/MonetDB/issues/779,2020-11-30T08:58:26Z,CLOSED,['bug']
590,SQL: Many columns in prepared statement confuse server,https://github.com/MonetDB/MonetDB/issues/780,2020-11-30T08:58:29Z,CLOSED,['bug']
591,Aggregate functions with limit,https://github.com/MonetDB/MonetDB/issues/785,2020-11-30T08:58:46Z,CLOSED,['bug']
592,buildtools omitted,https://github.com/MonetDB/MonetDB/issues/786,2020-11-30T08:58:49Z,CLOSED,['bug']
593,buildtools make fails,https://github.com/MonetDB/MonetDB/issues/787,2020-11-30T08:58:53Z,CLOSED,['bug']
594,PF: XMark Q3 triggers 64-bit OID bug,https://github.com/MonetDB/MonetDB/issues/788,2020-11-30T08:58:57Z,CLOSED,['bug']
595,PF: tests/BugsViaSourgeforce/Tests/ID.1244326 fails,https://github.com/MonetDB/MonetDB/issues/789,2020-11-30T08:59:00Z,CLOSED,['bug']
596,Long query leads to strange symbols in error message,https://github.com/MonetDB/MonetDB/issues/790,2020-11-30T08:59:04Z,CLOSED,['bug']
597,Join isn't performed correctly when 4th column is zero,https://github.com/MonetDB/MonetDB/issues/791,2020-11-30T08:59:08Z,CLOSED,['bug']
598,MonetDB: bison complains on never reduced rule,https://github.com/MonetDB/MonetDB/issues/792,2020-11-30T08:59:11Z,CLOSED,['bug']
599,XQuery: shredding 1 attribute,https://github.com/MonetDB/MonetDB/issues/793,2020-11-30T08:59:14Z,CLOSED,['bug']
600,XQuery: shredding-on-the-fly,https://github.com/MonetDB/MonetDB/issues/794,2020-11-30T08:59:17Z,CLOSED,['bug']
601,Mserver: destroy() immediately except if referenced,https://github.com/MonetDB/MonetDB/issues/795,2020-11-30T08:59:20Z,CLOSED,['bug']
602,bogus prepare causes crash,https://github.com/MonetDB/MonetDB/issues/796,2020-11-30T08:59:23Z,CLOSED,['bug']
603,Mapi: rows_affected wrong for Q_UPDATE,https://github.com/MonetDB/MonetDB/issues/797,2020-11-30T08:59:26Z,CLOSED,['bug']
604,XQuery: Reversed Union,https://github.com/MonetDB/MonetDB/issues/798,2020-11-30T08:59:29Z,CLOSED,['bug']
605,UPDATE evaluation error,https://github.com/MonetDB/MonetDB/issues/799,2020-11-30T08:59:33Z,CLOSED,['bug']
606,"bug appending to [void,void] bat",https://github.com/MonetDB/MonetDB/issues/801,2020-11-30T08:59:38Z,CLOSED,['bug']
607,start/exit MapiClient with three servers causes assertion,https://github.com/MonetDB/MonetDB/issues/802,2020-11-30T08:59:42Z,CLOSED,['bug']
608,"Mserver assertion failed with ""module(sql_server, mapi);""",https://github.com/MonetDB/MonetDB/issues/803,2020-11-30T08:59:46Z,CLOSED,['bug']
609,Mserver: Valgrind detected error,https://github.com/MonetDB/MonetDB/issues/804,2020-11-30T08:59:49Z,CLOSED,['bug']
610,Mserver: Valgrind detected error 2,https://github.com/MonetDB/MonetDB/issues/805,2020-11-30T08:59:53Z,CLOSED,['bug']
611,Mserver: Valgrind detected error 3,https://github.com/MonetDB/MonetDB/issues/806,2020-11-30T08:59:56Z,CLOSED,['bug']
612,Mserver: Valgrind detected error 5,https://github.com/MonetDB/MonetDB/issues/808,2020-11-30T09:00:03Z,CLOSED,['bug']
613,mapi java tests fails with java exception,https://github.com/MonetDB/MonetDB/issues/812,2020-11-30T09:00:16Z,CLOSED,['bug']
614,PF: property error in tests/XQuery/Tests/orderby1.xq,https://github.com/MonetDB/MonetDB/issues/813,2020-11-30T09:00:19Z,CLOSED,['bug']
615,PF: MapiClient tests randomly cause segfault in Mserver,https://github.com/MonetDB/MonetDB/issues/814,2020-11-30T09:00:22Z,CLOSED,['bug']
